model_feature,model_feature_index,cicids2017_released_header,cicids2017_column_index_zero_based,v3_raw_header,v3_raw_index_zero_based,v3_source_class,v3_source_method,semantic_definition,units,directional_convention,payload_packet_length_convention,aggregation_convention,standard_deviation_convention,zero_empty_flow_behavior,direct_mapping_possible,transformation_required,transformation_formula,evidence,confidence,compatibility_status
packet_length_std,41, Packet Length Std,41,Pkt Len Std,47,BasicFlow.java + BasicPacketInfo.java,payloadBytes statistics / packet header minimum where named,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,payload bytes,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,Apache Commons Math SummaryStatistics sample standard deviation; zero emitted for insufficient directional samples where guarded,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
packet_length_variance,42, Packet Length Variance,42,Pkt Len Var,48,BasicFlow.java + BasicPacketInfo.java,payloadBytes statistics / packet header minimum where named,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,payload bytes squared,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,population std/variance; Python ddof=0 versus Java sample convention,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
fin_flag_count,43,FIN Flag Count,43,FIN Flag Cnt,49,BasicFlow.java,checkFlags + HashMap keySet iteration in dumpFlowBasedFeaturesEx,Repository alias audit plus Python Flow.get_data and historical BasicFlow named calculation,count,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,packet count / direct field / per-second directional count as named,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,"V3 header FIN receives HashMap key RST; V3 calls checkFlags only for the first packet after addPacket calls are commented, matching the released column artifact pattern.",HIGH,DATASET_ARTIFACT_REPRODUCTION
syn_flag_count,44, SYN Flag Count,44,SYN Flag Cnt,50,BasicFlow.java,checkFlags + HashMap keySet iteration in dumpFlowBasedFeaturesEx,Repository alias audit plus Python Flow.get_data and historical BasicFlow named calculation,count,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,packet count / direct field / per-second directional count as named,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,"V3 header SYN receives HashMap key PSH; V3 calls checkFlags only for the first packet after addPacket calls are commented, matching the released column artifact pattern.",HIGH,DATASET_ARTIFACT_REPRODUCTION
rst_flag_count,45, RST Flag Count,45,RST Flag Cnt,51,BasicFlow.java,checkFlags + HashMap keySet iteration in dumpFlowBasedFeaturesEx,Repository alias audit plus Python Flow.get_data and historical BasicFlow named calculation,count,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,packet count / direct field / per-second directional count as named,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,"V3 header RST receives HashMap key ECE; V3 calls checkFlags only for the first packet after addPacket calls are commented, matching the released column artifact pattern.",HIGH,DATASET_ARTIFACT_REPRODUCTION
psh_flag_count,46, PSH Flag Count,46,PSH Flag Cnt,52,BasicFlow.java,checkFlags + HashMap keySet iteration in dumpFlowBasedFeaturesEx,Repository alias audit plus Python Flow.get_data and historical BasicFlow named calculation,count,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,packet count / direct field / per-second directional count as named,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,"V3 header PSH receives HashMap key SYN; V3 calls checkFlags only for the first packet after addPacket calls are commented, matching the released column artifact pattern.",HIGH,DATASET_ARTIFACT_REPRODUCTION
ack_flag_count,47, ACK Flag Count,47,ACK Flag Cnt,53,BasicFlow.java,checkFlags + HashMap keySet iteration in dumpFlowBasedFeaturesEx,Repository alias audit plus Python Flow.get_data and historical BasicFlow named calculation,count,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,packet count / direct field / per-second directional count as named,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,"V3 header ACK receives HashMap key ACK; V3 calls checkFlags only for the first packet after addPacket calls are commented, matching the released column artifact pattern.",HIGH,DATASET_ARTIFACT_REPRODUCTION
urg_flag_count,48, URG Flag Count,48,URG Flag Cnt,54,BasicFlow.java,checkFlags + HashMap keySet iteration in dumpFlowBasedFeaturesEx,Repository alias audit plus Python Flow.get_data and historical BasicFlow named calculation,count,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,packet count / direct field / per-second directional count as named,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,"V3 header URG receives HashMap key FIN; V3 calls checkFlags only for the first packet after addPacket calls are commented, matching the released column artifact pattern.",HIGH,DATASET_ARTIFACT_REPRODUCTION
cwe_flag_count,49, CWE Flag Count,49,Fwd URG Flags,38,BasicFlow.java,checkFlags + HashMap keySet iteration in dumpFlowBasedFeaturesEx,The policy does not claim genuine TCP CWR equivalence. Raw CICIDS2017 header says CWE; original Java intended CWR.,binary/count artifact identical to Fwd URG Flags,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,named per-flow aggregate,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,False,YES — explicit released-dataset artifact copy,cwe_flag_count = fwd_urg_flags,"Full released audit proves CWE Flag Count equals Fwd URG Flags in all 2,830,743 rows; V3 aggregate flag slot is not used as genuine CWE/CWR.",HIGH,DATASET_ARTIFACT_REPRODUCTION
ece_flag_count,50, ECE Flag Count,50,ECE Flag Cnt,56,BasicFlow.java,checkFlags + HashMap keySet iteration in dumpFlowBasedFeaturesEx,Repository alias audit plus Python Flow.get_data and historical BasicFlow named calculation,count,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,packet count / direct field / per-second directional count as named,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,"V3 header ECE receives HashMap key CWR; V3 calls checkFlags only for the first packet after addPacket calls are commented, matching the released column artifact pattern.",HIGH,DATASET_ARTIFACT_REPRODUCTION
down_up_ratio,51, Down/Up Ratio,51,Down/Up Ratio,57,BasicFlow.java,named getter / dumpFlowBasedFeaturesEx,"This is aggregation/arithmetic provenance, not a performance-motivated threshold.",dimensionless integer-division packet ratio,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,integer quotient versus real-valued ratio,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
average_packet_size,52, Average Packet Size,52,Pkt Size Avg,58,BasicFlow.java + BasicPacketInfo.java,payloadBytes statistics / packet header minimum where named,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,payload bytes,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,named total/min/max/mean,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
avg_fwd_segment_size,53, Avg Fwd Segment Size,53,Fwd Seg Size Avg,59,BasicFlow.java + BasicPacketInfo.java,payloadBytes statistics / packet header minimum where named,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,payload bytes,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,named total/min/max/mean,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
avg_bwd_segment_size,54, Avg Bwd Segment Size,54,Bwd Seg Size Avg,60,BasicFlow.java + BasicPacketInfo.java,payloadBytes statistics / packet header minimum where named,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,payload bytes,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,named total/min/max/mean,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
fwd_header_length.1,55, Fwd Header Length.1,55,Fwd Header Len,40,BasicFlow.java + BasicPacketInfo.java,fHeaderBytes/bHeaderBytes accumulated from getHeaderBytes,No second independent extractor measurement exists.,bytes (duplicate of Fwd Header Length),not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,named per-flow aggregate,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,False,YES — explicit duplicate-column reproduction,fwd_header_length.1 = fwd_header_length,Released raw CSV repeats Fwd Header Length and every pair is identical; V3 raw schema has one forward-header field.,HIGH,DATASET_ARTIFACT_REPRODUCTION
fwd_avg_bytes_bulk,56,Fwd Avg Bytes/Bulk,56,Fwd Byts/b Avg,61,BasicFlow.java,updateFlowBulk and bulk average/rate getters,"Constant training values prevent empirical validation of thresholds, direction switching, and bulk state aggregation.",bytes/bulk,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,qualifying directional bulk averages/rate; exact parity unverified,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
fwd_avg_packets_bulk,57, Fwd Avg Packets/Bulk,57,Fwd Pkts/b Avg,62,BasicFlow.java,updateFlowBulk and bulk average/rate getters,"Constant training values prevent empirical validation of thresholds, direction switching, and bulk state aggregation.",packets/bulk,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,qualifying directional bulk averages/rate; exact parity unverified,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
fwd_avg_bulk_rate,58, Fwd Avg Bulk Rate,58,Fwd Blk Rate Avg,63,BasicFlow.java,updateFlowBulk and bulk average/rate getters,"Constant training values prevent empirical validation of thresholds, direction switching, and bulk state aggregation.",bytes/second during qualifying bulks,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,qualifying directional bulk averages/rate; exact parity unverified,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
bwd_avg_bytes_bulk,59, Bwd Avg Bytes/Bulk,59,Bwd Byts/b Avg,64,BasicFlow.java,updateFlowBulk and bulk average/rate getters,"Constant training values prevent empirical validation of thresholds, direction switching, and bulk state aggregation.",bytes/bulk,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,qualifying directional bulk averages/rate; exact parity unverified,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
bwd_avg_packets_bulk,60, Bwd Avg Packets/Bulk,60,Bwd Pkts/b Avg,65,BasicFlow.java,updateFlowBulk and bulk average/rate getters,"Constant training values prevent empirical validation of thresholds, direction switching, and bulk state aggregation.",packets/bulk,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,qualifying directional bulk averages/rate; exact parity unverified,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
bwd_avg_bulk_rate,61,Bwd Avg Bulk Rate,61,Bwd Blk Rate Avg,66,BasicFlow.java,updateFlowBulk and bulk average/rate getters,"Constant training values prevent empirical validation of thresholds, direction switching, and bulk state aggregation.",bytes/second during qualifying bulks,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,qualifying directional bulk averages/rate; exact parity unverified,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
subflow_fwd_packets,62,Subflow Fwd Packets,62,Subflow Fwd Pkts,67,BasicFlow.java,detectUpdateSubflows and getSflow_*,Equality on single-subflow flows does not establish semantic equivalence.,packets per subflow,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,Python whole-flow duplicate versus Java average per detected subflow,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
subflow_fwd_bytes,63, Subflow Fwd Bytes,63,Subflow Fwd Byts,68,BasicFlow.java,detectUpdateSubflows and getSflow_*,Equality on single-subflow flows does not establish semantic equivalence.,payload bytes per subflow,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,Python whole-flow duplicate versus Java average per detected subflow,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
subflow_bwd_packets,64, Subflow Bwd Packets,64,Subflow Bwd Pkts,69,BasicFlow.java,detectUpdateSubflows and getSflow_*,Equality on single-subflow flows does not establish semantic equivalence.,packets per subflow,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,Python whole-flow duplicate versus Java average per detected subflow,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
subflow_bwd_bytes,65, Subflow Bwd Bytes,65,Subflow Bwd Byts,70,BasicFlow.java,detectUpdateSubflows and getSflow_*,Equality on single-subflow flows does not establish semantic equivalence.,payload bytes per subflow,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,Python whole-flow duplicate versus Java average per detected subflow,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
init_win_bytes_forward,66,Init_Win_bytes_forward,66,Init Fwd Win Byts,71,BasicFlow.java + BasicPacketInfo.java,Init_Win_bytes_* from TCPWindow,"Unit matches, but forward selection/update convention is not fully identical.",TCP advertised window field (bytes),first-packet forward/reverse,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,packet selection convention differs,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",V3 default -1 when unavailable; backward value is overwritten by later backward packets,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
init_win_bytes_backward,67, Init_Win_bytes_backward,67,Init Bwd Win Byts,72,BasicFlow.java + BasicPacketInfo.java,Init_Win_bytes_* from TCPWindow,"Unit matches, but backward selection/update convention is not fully identical.",TCP advertised window field (bytes),first-packet forward/reverse,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,packet selection convention differs,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",V3 default -1 when unavailable; backward value is overwritten by later backward packets,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
act_data_pkt_fwd,68, act_data_pkt_fwd,68,Fwd Act Data Pkts,73,BasicFlow.java,named getter / dumpFlowBasedFeaturesEx,First observed packet defines forward direction in both implementations.,count,first-packet initiator is forward,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,packet count / direct field / per-second directional count as named,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
min_seg_size_forward,69, min_seg_size_forward,69,Fwd Seg Size Min,74,BasicFlow.java,named getter / dumpFlowBasedFeaturesEx,"Observed values are compatible in common IPv4 cases, but TCP/options/packet parser parity is not proven.",header bytes,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,forward minimum,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
active_mean,70,Active Mean,70,Active Mean,75,BasicFlow.java + FlowGenerator.java,updateActiveIdleTime / SummaryStatistics,Experiment C active/idle values are all zero. Multiplying zero cannot reconstruct missing active/idle events.,microseconds,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,event construction differs; std also uses population versus sample convention,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
active_std,71, Active Std,71,Active Std,76,BasicFlow.java + FlowGenerator.java,updateActiveIdleTime / SummaryStatistics,Experiment C active/idle values are all zero. Multiplying zero cannot reconstruct missing active/idle events.,microseconds,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,Apache Commons Math SummaryStatistics sample standard deviation; zero emitted for insufficient directional samples where guarded,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
active_max,72, Active Max,72,Active Max,77,BasicFlow.java + FlowGenerator.java,updateActiveIdleTime / SummaryStatistics,Experiment C active/idle values are all zero. Multiplying zero cannot reconstruct missing active/idle events.,microseconds,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,event construction differs; std also uses population versus sample convention,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
active_min,73, Active Min,73,Active Min,78,BasicFlow.java + FlowGenerator.java,updateActiveIdleTime / SummaryStatistics,Experiment C active/idle values are all zero. Multiplying zero cannot reconstruct missing active/idle events.,microseconds,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,event construction differs; std also uses population versus sample convention,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
idle_mean,74,Idle Mean,74,Idle Mean,79,BasicFlow.java + FlowGenerator.java,updateActiveIdleTime / SummaryStatistics,Experiment C active/idle values are all zero. Multiplying zero cannot reconstruct missing active/idle events.,microseconds,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,event construction differs; std also uses population versus sample convention,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
idle_std,75, Idle Std,75,Idle Std,80,BasicFlow.java + FlowGenerator.java,updateActiveIdleTime / SummaryStatistics,Experiment C active/idle values are all zero. Multiplying zero cannot reconstruct missing active/idle events.,microseconds,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,Apache Commons Math SummaryStatistics sample standard deviation; zero emitted for insufficient directional samples where guarded,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
idle_max,76, Idle Max,76,Idle Max,81,BasicFlow.java + FlowGenerator.java,updateActiveIdleTime / SummaryStatistics,Experiment C active/idle values are all zero. Multiplying zero cannot reconstruct missing active/idle events.,microseconds,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,event construction differs; std also uses population versus sample convention,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
idle_min,77, Idle Min,77,Idle Min,82,BasicFlow.java + FlowGenerator.java,updateActiveIdleTime / SummaryStatistics,Experiment C active/idle values are all zero. Multiplying zero cannot reconstruct missing active/idle events.,microseconds,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,event construction differs; std also uses population versus sample convention,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
